0.99,100,39
0.99,90,39
0.99,80,39
0.99,70,39
0.99,60,92
0.99,50,78
0.99,40,39
0.99,30,92
0.99,20,39
0.99,10,39
0.89,100,39
0.89,90,39
0.89,80,89
0.89,70,39
0.89,60,39
0.89,50,39
0.89,40,39
0.89,30,39
0.89,20,39
0.89,10,39
0.79,100,92
0.79,90,39
0.79,80,39
0.79,70,39
0.79,60,39
0.79,50,39
0.79,40,39
0.79,30,39
0.79,20,39
0.79,10,39
0.69,100,39
0.69,90,39
0.69,80,39
0.69,70,39
0.69,60,39
0.69,50,39
0.69,40,39
0.69,30,39
0.69,20,39
0.69,10,39
0.59,100,39
0.59,90,39
0.59,80,39
0.59,70,39
0.59,60,39
0.59,50,39
0.59,40,39
0.59,30,39
0.59,20,39
0.59,10,39
0.49,100,39
0.49,90,39
0.49,80,39
0.49,70,39
0.49,60,41
0.49,50,39
0.49,40,39
0.49,30,39
0.49,20,41
0.49,10,39
0.39,100,39
0.39,90,39
0.39,80,39
0.39,70,39
0.39,60,39
0.39,50,39
0.39,40,39
0.39,30,39
0.39,20,41
0.39,10,39
0.29,100,41
0.29,90,39
0.29,80,41
0.29,70,39
0.29,60,39
0.29,50,39
0.29,40,39
0.29,30,39
0.29,20,41
0.29,10,41
0.19,100,39
0.19,90,39
0.19,80,39
0.19,70,39
0.19,60,41
0.19,50,39
0.19,40,39
0.19,30,39
0.19,20,39
0.19,10,39
