0.99,100,1812
0.99,90,1812
0.99,80,1812
0.99,70,1812
0.99,60,1812
0.99,50,1812
0.99,40,1812
0.99,30,1812
0.99,20,1227
0.99,10,1239
0.89,100,1812
0.89,90,1812
0.89,80,1213
0.89,70,1215
0.89,60,1193
0.89,50,1195
0.89,40,1199
0.89,30,1238
0.89,20,1217
0.89,10,1210
0.79,100,1197
0.79,90,1812
0.79,80,1195
0.79,70,1223
0.79,60,1226
0.79,50,1215
0.79,40,1229
0.79,30,1210
0.79,20,1284
0.79,10,1209
0.69,100,1205
0.69,90,1225
0.69,80,1196
0.69,70,1212
0.69,60,1219
0.69,50,1212
0.69,40,1225
0.69,30,1217
0.69,20,1205
0.69,10,1225
0.59,100,1229
0.59,90,1212
0.59,80,1207
0.59,70,1812
0.59,60,1207
0.59,50,1220
0.59,40,1223
0.59,30,1201
0.59,20,1234
0.59,10,1223
0.49,100,1324
0.49,90,1288
0.49,80,1812
0.49,70,1812
0.49,60,1298
0.49,50,1270
0.49,40,1310
0.49,30,1289
0.49,20,1812
0.49,10,1259
0.39,100,1306
0.39,90,1812
0.39,80,1283
0.39,70,1290
0.39,60,1812
0.39,50,1294
0.39,40,1288
0.39,30,1812
0.39,20,1279
0.39,10,1273
0.29,100,1812
0.29,90,1812
0.29,80,1278
0.29,70,1301
0.29,60,1276
0.29,50,1289
0.29,40,1268
0.29,30,1298
0.29,20,1287
0.29,10,1264
0.19,100,1285
0.19,90,1292
0.19,80,1300
0.19,70,1288
0.19,60,1301
0.19,50,1259
0.19,40,1275
0.19,30,1277
0.19,20,1300
0.19,10,1280
